Liste	SubjID	Age	Gender	Versuchsleiter	category    color	id	item	Voicekey	Error
3	HX-04	18	w	HX	filler  white	102	square_white.png	1122	1
3	HX-04	18	w	HX	filler  blue	110	panda_blue.png	-1	1
3	HX-04	18	w	HX	control white	51	monkey_white.png	-1	0
3	HX-04	18	w	HX	control red	62	baby_red.png	-1	0
3	HX-04	18	w	HX	critical    pink	30	bag_pink.png	-1	0
3	HX-04	18	w	HX	control blue	75	mailbox_blue.png	-1	1
3	HX-04	18	w	HX	control yellow	82	bandaid_yellow.png	-1	1
3	HX-04	18	w	HX	control green	98	bug_green.png	-1	0
3	HX-04	18	w	HX	filler  pink	117	leaf_pink.png	-1	0
3	HX-04	18	w	HX	critical    red	13	bone_red.png	-1	1
3	HX-04	18	w	HX	control blue	71	clock_blue.png	-1	0
3	HX-04	18	w	HX	control yellow	91	pillow_yellow.png	1137	0
3	HX-04	18	w	HX	critical    green	47	star_green.png	-1	0
3	HX-04	18	w	HX	filler  white	104	violin_white.png	-1	0
3	HX-04	18	w	HX	control red	68	pillar_red.png	-1	1
3	HX-04	18	w	HX	control pink	78	nest_pink.png	-1	0
3	HX-04	18	w	HX	critical    green	49	egg_green.png	-1	0
3	HX-04	18	w	HX	critical    white	7	bug_white.png	905	0
3	HX-04	18	w	HX	filler  blue	108	policeman_blue.png	-1	1
3	HX-04	18	w	HX	critical    red	15	bridge_red.png	-1	0
3	HX-04	18	w	HX	critical    green	45	bat_green.png	-1	0
3	HX-04	18	w	HX	control yellow	90	microphone_yellow.png	906	0
3	HX-04	18	w	HX	control blue	72	church_blue.png	-1	0
3	HX-04	18	w	HX	control white	58	broom_white.png	-1	1
3	HX-04	18	w	HX	control pink	77	castle_pink.png	-1	0
3	HX-04	18	w	HX	control red	63	cheese_red.png	1313	0
3	HX-04	18	w	HX	critical    blue	20	hinge_blue.png	-1	0
3	HX-04	18	w	HX	critical    green	43	lightning_green.png	1660	0
3	HX-04	18	w	HX	critical    yellow	40	hair_yellow.png	1207	0
