Liste	SubjID	Age	Gender	Versuchsleiter	category	color	id	item	Voicekey	Error
2	Jul2	22	m	Jul	control	pink	78	nest_pink.png	1366	0
2	Jul2	22	m	Jul	control	blue	69	bone_blue.png	2244	0
2	Jul2	22	m	Jul	critical	red	16	bucket_red.png	1346	0
2	Jul2	22	m	Jul	critical	white	4	baby_white.png	966	0
2	Jul2	22	m	Jul	critical	yellow	39	bra_yellow.png	-1	1
2	Jul2	22	m	Jul	control	green	97	stove_green.png	1883	1
2	Jul2	22	m	Jul	critical	pink	27	rollerskate_pink.png	-1	1
2	Jul2	22	m	Jul	control	yellow	88	curtains_yellow.png	3782	1
2	Jul2	22	m	Jul	filler	green	119	policeman_green.png	1734	0
2	Jul2	22	m	Jul	control	red	67	bathrobe_red.png	-1	1
2	Jul2	22	m	Jul	critical	white	5	crib_white.png	-1	1
2	Jul2	22	m	Jul	critical	blue	21	ladder_blue.png	1593	0
2	Jul2	22	m	Jul	filler	pink	118	violin_pink.png	3237	1
2	Jul2	22	m	Jul	control	yellow	83	bomb_yellow.png	2081	0
2	Jul2	22	m	Jul	critical	red	18	bird_red.png	-1	0
2	Jul2	22	m	Jul	control	green	92	shovel_green.png	2032	0
2	Jul2	22	m	Jul	critical	blue	19	monkey_blue.png	-1	0
2	Jul2	22	m	Jul	control	white	52	helmet_white.png	-1	1
2	Jul2	22	m	Jul	critical	red	13	bone_red.png	1171	0
2	Jul2	22	m	Jul	control	yellow	90	microphone_yellow.png	3122	0
2	Jul2	22	m	Jul	control	green	93	crib_green.png	-1	1
2	Jul2	22	m	Jul	control	pink	77	castle_pink.png	1484	1
2	Jul2	22	m	Jul	critical	blue	20	hinge_blue.png	-1	1
2	Jul2	22	m	Jul	control	white	56	beard_white.png	-1	0
2	Jul2	22	m	Jul	control	red	61	peas_red.png	-1	1
2	Jul2	22	m	Jul	control	green	96	hair_green.png	1589	0
2	Jul2	22	m	Jul	control	yellow	91	pillow_yellow.png	1673	0
