Liste	SubjID	Age	Gender	Versuchsleiter	category	color	id	item	Voicekey	Error
4	MC-04	54	m	Mc	filler	pink	118	violin_pink.png	-1	1
4	MC-04	54	m	Mc	filler	green	119	policeman_green.png	1986	0
4	MC-04	54	m	Mc	critical	white	2	bathrobe_white.png	1699	0
4	MC-04	54	m	Mc	critical	green	45	bat_green.png	1275	0
4	MC-04	54	m	Mc	critical	blue	20	hinge_blue.png	1900	0
4	MC-04	54	m	Mc	filler	pink	117	leaf_pink.png	1791	0
4	MC-04	54	m	Mc	critical	red	16	bucket_red.png	1356	0
4	MC-04	54	m	Mc	control	green	99	squirrel_green.png	1520	0
4	MC-04	54	m	Mc	control	white	51	monkey_white.png	1518	0
4	MC-04	54	m	Mc	control	blue	69	bone_blue.png	1943	0
4	MC-04	54	m	Mc	control	yellow	83	bomb_yellow.png	1460	0
4	MC-04	54	m	Mc	filler	green	120	panda_green.png	1908	0
4	MC-04	54	m	Mc	control	white	56	beard_white.png	-1	1
4	MC-04	54	m	Mc	critical	pink	28	curtains_pink.png	1867	0
4	MC-04	54	m	Mc	control	yellow	86	hinge_yellow.png	1296	0
4	MC-04	54	m	Mc	control	red	67	bathrobe_red.png	1197	0
4	MC-04	54	m	Mc	critical	white	5	crib_white.png	2088	1
4	MC-04	54	m	Mc	critical	blue	21	ladder_blue.png	1562	0
4	MC-04	54	m	Mc	critical	yellow	38	pillar_yellow.png	2159	0
4	MC-04	54	m	Mc	control	red	62	baby_red.png	1225	0
4	MC-04	54	m	Mc	control	pink	81	tiger_pink.png	2029	0
4	MC-04	54	m	Mc	critical	green	49	egg_green.png	1832	0
4	MC-04	54	m	Mc	control	yellow	82	bandaid_yellow.png	1508	0
4	MC-04	54	m	Mc	control	white	52	helmet_white.png	2015	0
4	MC-04	54	m	Mc	critical	blue	24	microscope_blue.png	1793	0
4	MC-04	54	m	Mc	control	red	59	fish_red.png	1284	0
4	MC-04	54	m	Mc	control	yellow	90	microphone_yellow.png	2249	0
4	MC-04	54	m	Mc	critical	white	3	balloon_white.png	1695	0
4	MC-04	54	m	Mc	filler	pink	116	square_pink.png	2081	0
4	MC-04	54	m	Mc	control	red	66	star_red.png	1285	0
4	MC-04	54	m	Mc	control	yellow	87	ladder_yellow.png	1564	0
4	MC-04	54	m	Mc	control	blue	74	rain_blue.png	2021	0
4	MC-04	54	m	Mc	filler	pink	111	glass_pink.png	1540	0
4	MC-04	54	m	Mc	critical	red	9	castle_red.png	1821	0
4	MC-04	54	m	Mc	critical	yellow	32	clock_yellow.png	2162	0
4	MC-04	54	m	Mc	critical	blue	25	music_blue.png	2468	1
4	MC-04	54	m	Mc	critical	pink	31	mailbox_pink.png	2592	0
4	MC-04	54	m	Mc	control	green	97	stove_green.png	2919	1
4	MC-04	54	m	Mc	critical	red	18	bird_red.png	1270	0
4	MC-04	54	m	Mc	control	blue	70	bra_blue.png	1731	0
4	MC-04	54	m	Mc	filler	pink	112	letter_pink.png	1758	0
4	MC-04	54	m	Mc	critical	yellow	41	broom_yellow.png	1406	0
4	MC-04	54	m	Mc	filler	white	103	leaf_white.png	1152	0
