Liste	SubjID	Age	Gender	Versuchsleiter	category	color	id	item	Voicekey	Error
2	MC-02	30	m	MC	critical	red	16	bucket_red.png	1388	0
2	MC-02	30	m	MC	critical	white	4	baby_white.png	1070	0
2	MC-02	30	m	MC	critical	yellow	39	bra_yellow.png	1153	0
2	MC-02	30	m	MC	control	green	97	stove_green.png	2557	0
2	MC-02	30	m	MC	critical	pink	27	rollerskate_pink.png	1605	0
2	MC-02	30	m	MC	control	yellow	88	curtains_yellow.png	2551	0
2	MC-02	30	m	MC	filler	green	119	policeman_green.png	1264	0
2	MC-02	30	m	MC	control	red	67	bathrobe_red.png	1125	0
2	MC-02	30	m	MC	critical	white	5	crib_white.png	1820	0
2	MC-02	30	m	MC	critical	blue	21	ladder_blue.png	2305	0
2	MC-02	30	m	MC	filler	pink	118	violin_pink.png	1795	0
2	MC-02	30	m	MC	control	yellow	83	bomb_yellow.png	1731	0
2	MC-02	30	m	MC	critical	red	18	bird_red.png	1397	0
2	MC-02	30	m	MC	control	green	92	shovel_green.png	1121	0
2	MC-02	30	m	MC	critical	blue	19	monkey_blue.png	1045	0
2	MC-02	30	m	MC	control	white	52	helmet_white.png	1176	0
2	MC-02	30	m	MC	critical	red	13	bone_red.png	1852	0
2	MC-02	30	m	MC	control	yellow	90	microphone_yellow.png	1565	0
2	MC-02	30	m	MC	control	green	93	crib_green.png	2380	0
2	MC-02	30	m	MC	control	pink	77	castle_pink.png	2174	0
2	MC-02	30	m	MC	critical	blue	20	hinge_blue.png	1430	0
2	MC-02	30	m	MC	control	white	56	beard_white.png	1427	0
2	MC-02	30	m	MC	control	red	61	peas_red.png	1539	0
2	MC-02	30	m	MC	control	green	96	hair_green.png	1556	0
2	MC-02	30	m	MC	control	yellow	91	pillow_yellow.png	2170	0
