Liste	SubjID	Age	Gender	Versuchsleiter	category	color	id	item	Voicekey	Error 
4	Jul 04	26	w	Jul	filler	blue	108	policeman_blue.png	1396	0
4	Jul 04	26	w	Jul	critical	green	47	star_green.png	1513	0
4	Jul 04	26	w	Jul	control	pink	80	lightning_pink.png	1292	0
4	Jul 04	26	w	Jul	control	yellow	85	rollerskate_yellow.png	2074	1
4	Jul 04	26	w	Jul	critical	white	4	baby_white.png	176	0
4	Jul 04	26	w	Jul	control	red	68	pillar_red.png	1001	0
4	Jul 04	26	w	Jul	control	blue	71	clock_blue.png	1193	0
4	Jul 04	26	w	Jul	critical	green	42	rain_green.png	964	0
4	Jul 04	26	w	Jul	control	white	58	broom_white.png	909	1
4	Jul 04	26	w	Jul	control	pink	79	bridge_pink.png	2074	0
4	Jul 04	26	w	Jul	critical	red	12	belt_red.png	265	0
4	Jul 04	26	w	Jul	critical	yellow	33	beard_yellow.png	1393	0
4	Jul 04	26	w	Jul	critical	white	7	bug_white.png	996	0
4	Jul 04	26	w	Jul	critical	blue	19	monkey_blue.png	1802	0
4	Jul 04	26	w	Jul	control	red	61	peas_red.png	1196	0
4	Jul 04	26	w	Jul	control	yellow	88	curtains_yellow.png	1876	0
4	Jul 04	26	w	Jul	critical	green	48	road_green.png	90	0
4	Jul 04	26	w	Jul	filler	blue	105	glass_blue.png	1125	0
4	Jul 04	26	w	Jul	critical	yellow	39	bra_yellow.png	1314	0
4	Jul 04	26	w	Jul	critical	red	15	bridge_red.png	995	0
4	Jul 04	26	w	Jul	control	white	55	bag_white.png	806	0
4	Jul 04	26	w	Jul	control	blue	75	mailbox_blue.png	1232	0
4	Jul 04	26	w	Jul	critical	pink	27	rollerskate_pink.png	2003	1
4	Jul 04	26	w	Jul	critical	green	46	pillow_green.png	1146	0
4	Jul 04	26	w	Jul	control	red	64	mop_red.png	1377	0
4	Jul 04	26	w	Jul	control	blue	72	church_blue.png	1730	0
4	Jul 04	26	w	Jul	critical	yellow	40	hair_yellow.png	195	0
4	Jul 04	26	w	Jul	filler	white	101	letter_white.png	920	0
4	Jul 04	26	w	Jul	critical	green	50	nest_green.png	1068	0
