Liste	SubjID	Age	Gender	Versuchsleiter	category	color	id	item	Voicekey	Error
1	MC-01	59	w	MC	filler	white	102	square_white.png	-1	1
1	MC-01	59	w	MC	filler	green	120	panda_green.png	1704	0
1	MC-01	59	w	MC	critical	yellow	37	stove_yellow.png	1940	1
1	MC-01	59	w	MC	control	white	52	helmet_white.png	-1	1
1	MC-01	59	w	MC	control	red	64	mop_red.png	1416	1
1	MC-01	59	w	MC	critical	blue	24	microscope_blue.png	1671	1
1	MC-01	59	w	MC	critical	green	43	lightning_green.png	948	1
1	MC-01	59	w	MC	critical	yellow	38	pillar_yellow.png	942	0
1	MC-01	59	w	MC	critical	pink	27	rollerskate_pink.png	1142	1
1	MC-01	59	w	MC	filler	blue	110	panda_blue.png	-1	0
1	MC-01	59	w	MC	control	yellow	86	hinge_yellow.png	1300	0
1	MC-01	59	w	MC	control	green	99	squirrel_green.png	1539	1
1	MC-01	59	w	MC	filler	pink	114	crab_pink.png	2004	0
1	MC-01	59	w	MC	critical	red	17	shovel_red.png	1745	1
1	MC-01	59	w	MC	critical	yellow	40	hair_yellow.png	1269	0
1	MC-01	59	w	MC	critical	blue	21	ladder_blue.png	1654	0
1	MC-01	59	w	MC	control	white	58	broom_white.png	-1	1
1	MC-01	59	w	MC	control	pink	81	tiger_pink.png	2002	1
1	MC-01	59	w	MC	critical	green	48	road_green.png	1272	0
1	MC-01	59	w	MC	critical	blue	25	music_blue.png	1573	0
1	MC-01	59	w	MC	critical	yellow	34	snail_yellow.png	-1	0
1	MC-01	59	w	MC	critical	red	16	bucket_red.png	-1	1
1	MC-01	59	w	MC	critical	white	6	peas_white.png	2597	0
1	MC-01	59	w	MC	critical	green	47	star_green.png	1642	0
1	MC-01	59	w	MC	filler	pink	118	violin_pink.png	2050	0
1	MC-01	59	w	MC	control	red	63	cheese_red.png	1235	0
1	MC-01	59	w	MC	critical	white	7	bug_white.png	2067	0
1	MC-01	59	w	MC	control	yellow	88	curtains_yellow.png	1765	0
1	MC-01	59	w	MC	filler	pink	115	pumpkin_pink.png	1248	1
1	MC-01	59	w	MC	critical	white	2	bathrobe_white.png	1843	0
1	MC-01	59	w	MC	critical	red	14	church_red.png	-1	0
1	MC-01	59	w	MC	control	yellow	91	pillow_yellow.png	2100	1
1	MC-01	59	w	MC	critical	blue	22	magnet_blue.png	2454	1
1	MC-01	59	w	MC	control	pink	77	castle_pink.png	2630	1
1	MC-01	59	w	MC	critical	white	4	baby_white.png	-1	0
1	MC-01	59	w	MC	critical	green	42	rain_green.png	1677	0
1	MC-01	59	w	MC	control	blue	73	egg_blue.png	1569	0
