Liste	SubjID	Age	Gender	Versuchsleiter	category	color	id	item	Voicekey	Error
2	SM-02	26	m	SM	filler	pink	115	pumpkin_pink.png	1415	0
2	SM-02	26	m	SM	filler	white	104	violin_white.png	1380	0
2	SM-02	26	m	SM	control	blue	74	rain_blue.png	1234	0
2	SM-02	26	m	SM	control	red	60	balloon_red.png	847	0
2	SM-02	26	m	SM	control	yellow	84	music_yellow.png	1243	1
2	SM-02	26	m	SM	control	white	55	bag_white.png	788	0
2	SM-02	26	m	SM	control	pink	79	bridge_pink.png	980	0
2	SM-02	26	m	SM	critical	red	14	church_red.png	895	0
2	SM-02	26	m	SM	control	yellow	85	rollerskate_yellow.png	1040	0
2	SM-02	26	m	SM	control	white	58	broom_white.png	903	0
2	SM-02	26	m	SM	critical	green	46	pillow_green.png	1064	0
2	SM-02	26	m	SM	filler	pink	111	glass_pink.png	1168	0
2	SM-02	26	m	SM	control	red	59	fish_red.png	767	0
2	SM-02	26	m	SM	control	white	57	road_white.png	1115	0
2	SM-02	26	m	SM	critical	green	49	egg_green.png	1336	0
2	SM-02	26	m	SM	control	yellow	89	bat_yellow.png	899	0
2	SM-02	26	m	SM	critical	red	17	shovel_red.png	740	0
2	SM-02	26	m	SM	filler	blue	110	panda_blue.png	761	1
2	SM-02	26	m	SM	control	white	53	bird_white.png	732	0
2	SM-02	26	m	SM	control	green	95	belt_green.png	955	0
2	SM-02	26	m	SM	filler	blue	109	pumpkin_blue.png	660	0
2	SM-02	26	m	SM	control	red	66	star_red.png	583	0
2	SM-02	26	m	SM	critical	yellow	38	pillar_yellow.png	920	1
2	SM-02	26	m	SM	control	green	98	bug_green.png	851	0
2	SM-02	26	m	SM	critical	pink	29	cheese_pink.png	1391	0
2	SM-02	26	m	SM	control	blue	73	egg_blue.png	824	0
2	SM-02	26	m	SM	control	red	62	baby_red.png	815	0
2	SM-02	26	m	SM	critical	white	2	bathrobe_white.png	726	0
2	SM-02	26	m	SM	control	yellow	82	bandaid_yellow.png	1158	0
2	SM-02	26	m	SM	critical	pink	28	curtains_pink.png	1263	0
2	SM-02	26	m	SM	control	green	100	snail_green.png	717	0
2	SM-02	26	m	SM	critical	white	8	bomb_white.png	1005	0
2	SM-02	26	m	SM	filler	blue	105	glass_blue.png	591	0
2	SM-02	26	m	SM	filler	pink	112	letter_pink.png	868	1
2	SM-02	26	m	SM	critical	yellow	37	stove_yellow.png	1602	1
2	SM-02	26	m	SM	control	red	64	mop_red.png	860	0
2	SM-02	26	m	SM	control	green	99	squirrel_green.png	826	0
2	SM-02	26	m	SM	control	white	54	magnet_white.png	899	0
2	SM-02	26	m	SM	critical	blue	25	music_blue.png	735	1
2	SM-02	26	m	SM	filler	pink	117	leaf_pink.png	1381	0
2	SM-02	26	m	SM	critical	red	9	castle_red.png	715	0
2	SM-02	26	m	SM	control	yellow	87	ladder_yellow.png	697	0
