Liste	SubjID	Age	Gender	Versuchsleiter	category    color	id	item	Voicekey	Error
3	HX-3	25	m	HX	filler  white	102	square_white.png	1402	0
3	HX-3	25	m	HX	filler  blue	110	panda_blue.png	1239	0
3	HX-3	25	m	HX	control white	51	monkey_white.png	903	0
3	HX-3	25	m	HX	control red	62	baby_red.png	1107	0
3	HX-3	25	m	HX	critical    pink	30	bag_pink.png	1290	0
3	HX-3	25	m	HX	control blue	75	mailbox_blue.png	1016	1
3	HX-3	25	m	HX	control yellow	82	bandaid_yellow.png	3806	1
3	HX-3	25	m	HX	control green	98	bug_green.png	2956	0
3	HX-3	25	m	HX	filler  pink	117	leaf_pink.png	944	1
3	HX-3	25	m	HX	critical    red	13	bone_red.png	2396	0
3	HX-3	25	m	HX	control blue	71	clock_blue.png	1558	0
3	HX-3	25	m	HX	control yellow	91	pillow_yellow.png	1526	0
3	HX-3	25	m	HX	critical    green	47	star_green.png	1293	0
3	HX-3	25	m	HX	filler  white	104	violin_white.png	1578	0
3	HX-3	25	m	HX	control red	68	pillar_red.png	1217	1
3	HX-3	25	m	HX	control pink	78	nest_pink.png	-1	1
3	HX-3	25	m	HX	critical    green	49	egg_green.png	1728	0
3	HX-3	25	m	HX	critical    white	7	bug_white.png	1157	0
3	HX-3	25	m	HX	filler  blue	108	policeman_blue.png	1210	0
3	HX-3	25	m	HX	critical    red	15	bridge_red.png	1310	0
3	HX-3	25	m	HX	critical    green	45	bat_green.png	1287	1
3	HX-3	25	m	HX	control yellow	90	microphone_yellow.png	1343	0
3	HX-3	25	m	HX	control blue	72	church_blue.png	1678	0
3	HX-3	25	m	HX	control white	58	broom_white.png	1640	0
3	HX-3	25	m	HX	control pink	77	castle_pink.png	1575	0
3	HX-3	25	m	HX	control red	63	cheese_red.png	1054	0
3	HX-3	25	m	HX	critical    blue	20	hinge_blue.png	2802	1
3	HX-3	25	m	HX	critical    green	43	lightning_green.png	1726	0
3	HX-3	25	m	HX	critical    yellow	40	hair_yellow.png	1411	0
3	HX-3	25	m	HX	control white	53	bird_white.png	1500	0
3	HX-3	25	m	HX	control blue	73	egg_blue.png	1205	0
3	HX-3	25	m	HX	critical    yellow	32	clock_yellow.png	1504	0
3	HX-3	25	m	HX	filler  white	101	letter_white.png	1615	1
3	HX-3	25	m	HX	critical    blue	24	microscope_blue.png	1563	0
3	HX-3	25	m	HX	filler  green	119	policeman_green.png	1579	0
3	HX-3	25	m	HX	control pink	81	tiger_pink.png	1749	0
3	HX-3	25	m	HX	control white	54	magnet_white.png	1110	0
