Liste	SubjID	Age	Gender	Versuchsleiter	category    color	id	item	Voicekey	Error
3	HX-3	25	m	HX	control yellow	86	hinge_yellow.png	1971	1
3	HX-3	25	m	HX	critical    green	48	road_green.png	1962	0
3	HX-3	25	m	HX	critical    red	17	shovel_red.png	1729	0
3	HX-3	25	m	HX	control pink	79	bridge_pink.png	1088	0
3	HX-3	25	m	HX	control blue	74	rain_blue.png	1903	0
3	HX-3	25	m	HX	critical    yellow	36	squirrel_yellow.png	2181	1
3	HX-3	25	m	HX	filler  green	120	panda_green.png	2045	0
3	HX-3	25	m	HX	control red	66	star_red.png	1206	0
3	HX-3	25	m	HX	critical    white	5	crib_white.png	1945	0
3	HX-3	25	m	HX	critical    yellow	34	snail_yellow.png	2747	1
3	HX-3	25	m	HX	control green	95	belt_green.png	1803	0
3	HX-3	25	m	HX	critical    pink	29	cheese_pink.png	1374	0
3	HX-3	25	m	HX	critical    white	2	bathrobe_white.png	3057	1
3	HX-3	25	m	HX	critical    red	18	bird_red.png	1710	0
3	HX-3	25	m	HX	filler  blue	107	crab_blue.png	2416	0
3	HX-3	25	m	HX	critical    yellow	39	bra_yellow.png	2585	1
3	HX-3	25	m	HX	critical    green	50	nest_green.png	1844	1
3	HX-3	25	m	HX	critical    pink	31	mailbox_pink.png	2971	0
3	HX-3	25	m	HX	critical    blue	19	monkey_blue.png	1275	0
3	HX-3	25	m	HX	control red	61	peas_red.png	2097	1
3	HX-3	25	m	HX	critical    yellow	41	broom_yellow.png	3471	1
3	HX-3	25	m	HX	control green	93	crib_green.png	1637	1
3	HX-3	25	m	HX	critical    white	8	bomb_white.png	80	0
3	HX-3	25	m	HX	critical    blue	23	microphone_blue.png	1245	0
3	HX-3	25	m	HX	filler  pink	112	letter_pink.png	2576	1
3	HX-3	25	m	HX	control green	100	snail_green.png	2227	0
3	HX-3	25	m	HX	critical    white	4	baby_white.png	1007	0
3	HX-3	25	m	HX	control yellow	88	curtains_yellow.png	2299	0
3	HX-3	25	m	HX	control pink	80	lightning_pink.png	1744	0
3	HX-3	25	m	HX	control green	96	hair_green.png	1778	0
3	HX-3	25	m	HX	control yellow	87	ladder_yellow.png	1867	0
3	HX-3	25	m	HX	filler  pink	116	square_pink.png	1708	0
3	HX-3	25	m	HX	critical    red	10	tiger_red.png	1176	0
3	HX-3	25	m	HX	control green	97	stove_green.png	2993	1
3	HX-3	25	m	HX	control yellow	85	rollerskate_yellow.png	1976	1
3	HX-3	25	m	HX	control blue	70	bra_blue.png	-1	1
3	HX-3	25	m	HX	critical    pink	28	curtains_pink.png	1114	0
3	HX-3	25	m	HX	critical    red	12	belt_red.png	1167	0
3	HX-3	25	m	HX	filler  white	103	leaf_white.png	2712	0
3	HX-3	25	m	HX	filler  blue	109	pumpkin_blue.png	2660	1
3	HX-3	25	m	HX	critical    pink	26	mop_pink.png	1888	0
3	HX-3	25	m	HX	control red	60	balloon_red.png	1193	0
3	HX-3	25	m	HX	critical    yellow	33	beard_yellow.png	1808	0
3	HX-3	25	m	HX	critical    green	46	pillow_green.png	496	0
3	HX-3	25	m	HX	critical    white	1	fish_white.png	1230	0
3	HX-3	25	m	HX	filler  pink	118	violin_pink.png	1689	0
3	HX-3	25	m	HX	control red	67	bathrobe_red.png	2085	1
3	HX-3	25	m	HX	critical    yellow	38	pillar_yellow.png	1194	1
3	HX-3	25	m	HX	filler  blue	105	glass_blue.png	2867	1
3	HX-3	25	m	HX	control red	64	mop_red.png	1042	0
3	HX-3	25	m	HX	control pink	76	bucket_pink.png	1656	1
3	HX-3	25	m	HX	control green	92	shovel_green.png	3328	0
3	HX-3	25	m	HX	control white	57	road_white.png	360	0
3	HX-3	25	m	HX	critical    red	11	helmet_red.png	1616	0
3	HX-3	25	m	HX	filler  pink	114	crab_pink.png	1282	0
3	HX-3	25	m	HX	control yellow	84	music_yellow.png	1516	0
3	HX-3	25	m	HX	critical    red	14	church_red.png	1664	0
3	HX-3	25	m	HX	control green	94	microscope_green.png	1615	0
3	HX-3	25	m	HX	control white	55	bag_white.png	2568	0
3	HX-3	25	m	HX	critical    blue	21	ladder_blue.png	1221	0
3	HX-3	25	m	HX	critical    red	16	bucket_red.png	1945	1
3	HX-3	25	m	HX	filler  pink	115	pumpkin_pink.png	1874	1
3	HX-3	25	m	HX	control green	99	squirrel_green.png	2653	1
3	HX-3	25	m	HX	control yellow	83	bomb_yellow.png	1341	0
3	HX-3	25	m	HX	control white	56	beard_white.png	1088	0
3	HX-3	25	m	HX	critical    pink	27	rollerskate_pink.png	-1	0
3	HX-3	25	m	HX	critical    green	42	rain_green.png	2109	0
3	HX-3	25	m	HX	critical    blue	25	music_blue.png	1973	0
3	HX-3	25	m	HX	control red	59	fish_red.png	1137	0
3	HX-3	25	m	HX	critical    white	3	balloon_white.png	1236	0
3	HX-3	25	m	HX	critical    yellow	37	stove_yellow.png	1914	1
3	HX-3	25	m	HX	control blue	69	bone_blue.png	1890	0
3	HX-3	25	m	HX	critical    green	44	bandaid_green.png	1359	1
3	HX-3	25	m	HX	critical    white	6	peas_white.png	2641	1
3	HX-3	25	m	HX	filler  pink	111	glass_pink.png	1835	0
3	HX-3	25	m	HX	critical    red	9	castle_red.png	1212	0
3	HX-3	25	m	HX	control yellow	89	bat_yellow.png	2381	1
3	HX-3	25	m	HX	critical    blue	22	magnet_blue.png	1581	0
3	HX-3	25	m	HX	control white	52	helmet_white.png	2228	0
