"Nummer" "Liste" "SubjID" "Age" "Gender" "Versuchsleiter" "category" "color" "id" "item" "Voicekey" "Error"
"68" 4 "SM03" 19 "w" "SM" "control" "yellow" 91 "pillow_yellow.png" 2341 1
"69" 4 "SM03" 19 "w" "SM" "control" "green" 100 "snail_green.png" -1 1
"70" 4 "SM03" 19 "w" "SM" "critical" "pink" 26 "mop_pink.png" 1379 0
"71" 4 "SM03" 19 "w" "SM" "control" "red" 63 "cheese_red.png" 3241 1
"72" 4 "SM03" 19 "w" "SM" "critical" "blue" 23 "microphone_blue.png" 1350 0
"73" 4 "SM03" 19 "w" "SM" "control" "green" 93 "crib_green.png" -1 1
"74" 4 "SM03" 19 "w" "SM" "filler" "white" 104 "violin_white.png" -1 1
"75" 4 "SM03" 19 "w" "SM" "critical" "red" 13 "bone_red.png" 1251 1
"76" 4 "SM03" 19 "w" "SM" "critical" "pink" 30 "bag_pink.png" 2158 1
"77" 4 "SM03" 19 "w" "SM" "critical" "green" 43 "lightning_green.png" 1225 1
"78" 4 "SM03" 19 "w" "SM" "filler" "blue" 107 "crab_blue.png" 2116 1
"79" 4 "SM03" 19 "w" "SM" "control" "red" 60 "balloon_red.png" -1 1
"80" 4 "SM03" 19 "w" "SM" "filler" "pink" 115 "pumpkin_pink.png" -1 1
"81" 4 "SM03" 19 "w" "SM" "control" "green" 98 "bug_green.png" -1 1
"82" 4 "SM03" 19 "w" "SM" "filler" "blue" 110 "panda_blue.png" -1 1
"83" 4 "SM03" 19 "w" "SM" "critical" "white" 6 "peas_white.png" 4340 1
"84" 4 "SM03" 19 "w" "SM" "critical" "pink" 29 "cheese_pink.png" 1454 0
"85" 4 "SM03" 19 "w" "SM" "control" "green" 92 "shovel_green.png" -1 1
"86" 4 "SM03" 19 "w" "SM" "critical" "red" 14 "church_red.png" 3334 1
"87" 4 "SM03" 19 "w" "SM" "filler" "white" 102 "square_white.png" -1 1
